rt;key_press;correct;coherent_movement_direction;coherent_orientation;task_type;task_transition;congruency
1152;j;TRUE;0;0;or;switch;congruent
1184;f;TRUE;180;180;or;repetition;congruent
-1;;FALSE;180;0;mov;switch;incongruent
873;j;TRUE;0;0;mov;repetition;congruent
906;j;TRUE;0;180;mov;repetition;incongruent
1031;f;TRUE;180;180;or;switch;congruent
1579;j;TRUE;0;180;mov;switch;incongruent
737;j;TRUE;180;0;or;switch;incongruent
1390;j;TRUE;180;0;or;repetition;incongruent
1588;f;TRUE;180;180;mov;switch;congruent
1593;f;TRUE;180;180;or;switch;congruent
1279;j;TRUE;0;0;or;repetition;congruent
1895;j;TRUE;0;0;mov;switch;congruent
769;f;TRUE;180;180;mov;repetition;congruent
1343;f;TRUE;180;180;or;switch;congruent
1480;f;TRUE;0;180;or;repetition;incongruent
1259;j;TRUE;180;0;or;repetition;incongruent
1346;j;TRUE;0;0;or;repetition;congruent
802;f;TRUE;180;180;mov;switch;congruent
1101;j;TRUE;0;0;mov;repetition;congruent
1569;f;TRUE;0;180;or;switch;incongruent
-1;;FALSE;0;180;or;repetition;incongruent
1196;f;TRUE;180;0;mov;switch;incongruent
997;j;TRUE;0;0;or;switch;congruent
1428;j;TRUE;0;0;or;repetition;congruent
1292;j;TRUE;180;0;or;repetition;incongruent
1624;f;TRUE;0;180;or;repetition;incongruent
1262;j;TRUE;0;0;mov;switch;congruent
1051;j;TRUE;0;0;or;switch;congruent
1337;j;TRUE;0;180;mov;switch;incongruent
1729;j;TRUE;0;180;mov;repetition;incongruent
1173;j;FALSE;0;180;or;switch;incongruent
1431;j;TRUE;0;0;mov;switch;congruent
620;f;TRUE;180;0;mov;repetition;incongruent
1239;j;TRUE;0;0;mov;repetition;congruent
880;f;TRUE;180;180;mov;repetition;congruent
1214;j;TRUE;180;0;or;switch;incongruent
1219;j;TRUE;0;0;or;repetition;congruent
1466;j;TRUE;0;180;mov;switch;incongruent
1322;f;TRUE;0;180;or;switch;incongruent
1126;f;TRUE;180;0;mov;switch;incongruent
993;f;TRUE;180;180;or;switch;congruent
1041;j;TRUE;0;0;mov;switch;congruent
903;f;TRUE;180;0;mov;repetition;incongruent
724;j;TRUE;180;0;or;switch;incongruent
1037;j;TRUE;0;0;mov;switch;congruent
1071;j;TRUE;0;0;mov;repetition;congruent
1643;j;TRUE;0;0;or;switch;congruent
